@station,@grpkeys,@grpvals,@grpvalsdesc,@latdec,@lngdec,@shortname,@stname,@colour,@var_100x00_100,@var_100x00_100_dt,@var_100x00_141,@var_100x00_141_dt,@var_10x00_10,@var_10x00_10_dt
221001,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.13865499,149.3172961,GENOA R @ ROCKTON,GENOA RIVER @ ROCKTON,grey,,,,,,
221200,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.54138889,148.9344444,BEMM R @ TERRACE,BEMM RIVER @ CLUB TERRACE,grey,,,,,,
221201,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.37293559,149.1986606,CANN (WB) @ WEERAGUA,CANN RIVER (WEST BRANCH) @ WEERAGUA,grey,1.542,20221017020000,194.4,20221017020000,,
221202,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.382091,149.486607,GENOA @ WANGARABELL,GENOA RIVER @ WANGARABELL,grey,1.395,20221017080000,236.1,20221017080000,,
221203,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.59138889,149.6944444,BETKA @ MALLACOOTA,BETKA RIVER @ MALLACOOTA,grey,,,,,,
221204,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.72569094,149.2603109,THURRA @ POINT HICKS,THURRA RIVER @ POINT HICKS,grey,,,,,,
221205,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.73833333,148.9508333,BEMM @ BEMM,BEMM RIVER @ BEMM RIVER,grey,,,,,,
221206,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.43388889,149.1972222,CANN @ NOORINBEE,CANN RIVER @ NOORINBEE,grey,,,,,,
221207,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.44703719,148.9152556,ERRINUNDRA @ ERRINUN,ERRINUNDRA RIVER @ ERRINUNDRA,grey,,,,,,
221208,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.688768,149.49176727,WINGAN @WINGAN INLET,WINGAN RIVER @ WINGAN INLET NATIONAL PARK,grey,,,,,,
221209,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.35543111,149.2070458,CANN (EBR) WEERAGUA,CANN RIVER (EAST BRANCH) @ WEERAGUA,grey,0.487,20221017070000,41.9,20221017070000,0.0,20221017070000
221210,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.41577078,149.5203757,GENOA @ GORGE,GENOA RIVER @ THE GORGE,blue,0.780,20221017090000,213.6,20221017090000,0.0,20221017090000
221211,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.44019449,148.9831348,COMBIENBAR @ COMB.,COMBIENBAR RIVER @ COMBIENBAR,grey,,,,,,
221212,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.60712619,148.9016487,BEMM @ PRINCES HWY,BEMM RIVER @ PRINCES HIGHWAY,blue,2.227,20221017090000,747.6,20221017090000,,
221213,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.51021064,148.8521792,GOOLENGOOK @ D/S ART,GOOLENGOOK RIVER @ D/S OF ARTE RIVER JUNCTION,grey,,,,,,
221214,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.60107723,149.1370946,CANN R @ D.ST. CANN,CANN RIVER @ D/S OF CANN RIVER,grey,,,,,,
221216,WEB_SW,B_221_EG,221-East Gippsland Basin,-37.39611111,149.5113889,GENOA @ D/S BIG FLAT,GENOA RIVER @ D/S OF BIG FLAT CREEK JUNCTION,grey,,,,,,
