name,bom_stn_num
Leycester Ck at Tuncester (mAHD),58201
Coopers Ck at Repentance,558000
Coopers Ck at Corndale,58206
Wilsons R at Nashua,58162
Wilsons R at Eltham,58200
Wilsons R at Woodlawn (mAHD),558012
Browns Ck Pump Station,558100
Lismore (Dawson Street),558087
Wilsons R at Lismore (mAHD),58176
Wilsons R at East Gundurimba,558047
Wilsons R at Tuckurimba,558076
Richmond R at Wiangaree,558001
Richmond R at Kyogle,558002
Eden Ck at Doubtful,558037
Richmond R at Casino**,558013
Shannon Brook at Yorklea,558038
Richmond R at Coraki,58175
Myrtle Ck at Rappville,558015
Bungawalbin Ck at Neileys Lagoon Rd,558101
Richmond R at Bungawalbin,58184
Richmond R at Byrnes Pt,558044
Rocky Mouth Ck U/S Evans R,558054
Evans R at Tucombil Hwy Br,558058
Evans R at Evans Head,558048
Lake Ainsworth,558052
Maguires Ck at Teven,558070
Maryland R at Wylie Creek,556026
Cataract R at Sandy Hill,556024
Peacock Ck at Bonalbo,557004
Clarence R at Tabulam,557000
Timbarra R at Billyrimba,560032
Timbarra R at Drake,557007
Clarence R at Baryulgil,57114
Mann R at Shannon Vale,556023
Mann R at Mitchell,557003
Aberfoyle R at Aberfoyle,557011
Guy Fawkes R at Ebor,557009
Boyd R at Broadmeadows,57116
Bielsdown Ck at Dorrigo,559025
Nymboida R at Nymboida,59124
Nymboida R d/s Nymboida Weir,558040
Mann R at Jackadgery,57113
Dandahra Ck at Gibraltar Range,557008
Clarence R at Lilydale,557005
Orara R at Orange Grove,559018
Orara R at Karangi,559023
Orara R at Glenreagh TM**,559066
Orara R at Bawden Bridge**,558074
Clarence R at Rogans Br.,558055
Clarence R at Grafton (Prince St),58178
Clarence R at Ulmarra,58188
Coldstream R at Tyndale,558073
Clarence R at Lawrence^,558110
Clarence R at Maclean,558022
Clarence R at Yamba,558062
Wooli R at Caravan Park,558060
Wooli R at Entrance,559044
Bennetts Rd (Coffs Harbour),559063
Bakers Rd (Coffs Harbour),559055
Loaders Ln (Coffs Harbour),559056
Bray St (Coffs Harbour),559057
Gundagai St (Coffs Harbour),559058
Englands Rd (Coffs Harbour),559059
Indusrial Dr (Coffs Harbour),559053
Coffs Ck at Coffs Harbour,559012
Newports Ck at Coffs Harbour,559039
Coffs Inner Harbour,559014
Sawtell (Coffs Harbour),559054
Spagnolos Rd (Coffs Harbour),559064
Moonee Creek (Moonee Creek),559078
Red Rock (Corindi River),559079
Boambee (Boambee Creek),559080
Boambee Entrance (Boambee Creek),559081
Bellinger R at Thora,59121
Never Never Ck at Gleniffer,559004
Bellinger R at Bellingen Br,59126
Bellinger R at Repton,559024
Kalang R at Kooroowi (Scotchman),559008
Kalang R at Urunga,559011
South Creek at Bowraville,559068
Nambucca R Upstream Bowraville,559045
Bowraville Lanes Bridge,559001
Nambucca R Downstream Bowraville,559072
Taylors Arm at Upper Taylors Arm,559073
Taylors Arm at Utungun,559005
Nambucca R at Macksville,559006
Gara R at Willow Glen,556031
Gara R at Malpas Dam,556032
Gara R d/s Malpas Dam,556034
Dumaresq Ck D/S Dumaresq Dam,556022
Dumaresq Ck at Armidale,556017
Sandy Ck at Newholme,556020
Commissioners Ck at Tiverton,556021
Macleay R at Dangars Falls,556012
Wollomombi R at Coninside,557006
Styx R at Jeogla,557002
Tia R at Tia,57112
Apsley R at Apsley Falls,557012
Apsley R at Apsley Gorge,557013
Macleay R at Georges Creek,557001
Macleay R at Bellbrook,59122
Macleay R at Toorooka,559038
Majors Ck at Moparrabah,59128
Macleay R at Turners Flat,559002
Dungay Ck at Wittitrin,59125
Macleay R at Sherwood Br,559067
Macleay R at Aldavilla D/S,559151
Macleay R at Kempsey,59127
Collombatti Ck at Collombatti,559037
Macleay R at Belmore Entrance,559003
Belmore R at Smithtown,559040
Kinchela Ck at Kinchela Entrance,559010
Macleay R at Plummers Lane,559035
Macleay R at South West Rocks,559041
Hastings R at Mt Seaview,560002
Forbes R at Birdwood,560031
Ellenborough R D/S Bunnoo River,560000
Hastings R at Kindee Bridge,60116
Hastings R at Long Flat,560016
Pappinbarra Ck at Beechwood,60138
Hastings R at Wauchope Raliway Br,60124
Hastings R D/S Dennis Bridge,560042
Wilson R at Telegraph Pt (WTP),560064
Wilson R at Telegraph Pt,560011
Wilson R at Avenal,560033
Maria R at Mundays Lane,560067
Hastings R at Settlement Point,60133
Hastings R at Entrance,560050
Herons Ck at Herons Ck Br,560022
Camden Haven R at Lorne Bridge,560025
Upsalls Ck at Upsalls Ck Br,560010
Stewarts R at Redoak,560012
Camden Haven R at Laurieton,560018
West Haven at Stingray Ck,560047
Camden Haven R at North Haven,560045
Barnard R at Barry,60128
Manning R at Bretti (Mackay),60137
Nowendoc R at Nowendoc,560035
Nowendoc R at Rocks Crossing,60118
Gloucester R at Bellevue,560063
Gloucester R at Forbesdale,560061
Avon R D/S Waukivory Ck,560060
Gloucester R at Gloucester,560062
Barrington R at Forbesdale,560001
Gloucester R at Doon Ayre,560006
Manning R at Mt George,60117
Manning R at Killawarra,60129
Dingo Ck at Ashlea Br D/S,560065
Manning R at Wingham**,60120
Manning R at Taree**,60119
Manning R at Croki,560008
Lansdowne R at Lansdowne,560037
Manning R at Farquhar Inlet,560041
Manning R at Harrington Entrance,560027
Wallamba R at Nabiac,560048
Wang Wauk R at Willina,560049
Wallamba River at Tuncurry,560053
Wallis Lake at Tuncurry (Pt Rd),560057
Wallis Lake at Forster,560044
Pacific Palms Wharf,560066
Myall R at Upper Markwell,560056
Myall R at Markwell,561104
Myall R at Bulahdelah,560040
Crawford R U/S Bulahdelah,560058
Karuah R at Dam Site,561106
Karuah R at Booral,561040
Shoal Bay,561153
Chichester R at Chichester,561059
Williams R at Tilligra,561033
Williams R at Dungog,61267
Myall Creek at Dungog,561171
Williams R at Mill Dam Falls,61339
Williams R at Seaham,561087
Lostock Dam Water Level,561013
Paterson R D/S Lostock Dam,561011
Allyn R at Halton,561019
Paterson R at Vacy,561020
Paterson R at Gostwyck Br,61349
Paterson R D/S Rail Br,561032
Paterson R D/S Dunmore,561075
Paterson R at Hinton Br,561023
Goulburn R at Coggan,562010
Merriwa R U/S Vallances Ck,561130
Goulburn R at Kerrabee,62094
Goulburn R at Sandy Hollow,561008
Wybong Ck at Wybong,561009
Pages R at Blandford,61372
Isis R at Lower Timor,561160
Isis R at Stick Me Up Br,561161
Pages R at U/S Kewell Ck,561159
Pages R at Gundy,61348
Kingdon Ponds at Wingen,561100
Kingdon Ponds at Parkville,61373
Middle Bk at Cressfield,561101
Kingdon Ponds at Scone,61360
Moonan Bk at Moonan Brook,561041
Hunter R at Moonan Dam Site,561003
Hunter R at Belltrees,561042
Glenbawn Dam,561012
Hunter R D/S Glenbawn Dam,61185
Rouchel Bk at Rouchel Brook,561007
Dart Brook at Yarrandi Br,561018
Hunter R at Aberdeen,561024
Hunter R at Muswellbrook,561005
Hunter R at Denman,561015
Wollombi Bk at Laguna,561166
Congewai Ck at Millfield,561167
Wollombi Bk at Wollombi,561169
Wollombi Bk at d/s Brickmans Br,561058
Wollombi Bk at Bulga,61347
Wollombi Bk at Warkworth,561006
Hunter R at Liddell Pump Stn,561017
Bayswater Ck at Liddell,561047
Hunter R U/S Bowmans Ck Br,561051
Foy Bk D/S Bowmans Ck Br,561055
Hunter R U/S Glennies Ck,561052
Carrow Brook,561048
Glennies Ck at Glennies Ck Dam,561049
Glennies Ck at The Rocks No2,561045
Glennies Ck at Middle Falbrook,561014
Hunter R at Maison Dieu,561053
Hunter R at Long Point,561057
Hunter R U/S Singleton,561054
Hunter R at Singleton,561010
Black Ck at Rothbury,561046
Hunter R at Greta,561016
Hunter R at Oakhampton Br,561039
Hunter R D/S Bolwarra,561071
Hunter R at Maitland Belmore Br,61268
Wallis Ck at Louth Park,561094
Wallis Ck U/S High St,561093
Wallis Ck D/S High St,561095
Hunter R at McKimms Corner,561064
Hunter R at Morpeth,561002
Hunter R at Green Rocks,561021
Hunter R at Raymond Terrace,561037
Hunter R at Hexham Br,561022
Hunter R at Stockton Br,561088
Ironbark Ck (Croudace Rd),561121
Styx Channel (Kotara),561120
Cockle Ck at Cockle Ck Railway Stn,561073
Lake Macquarie at Marmong Point,561063
Lake Macquarie at Belmont,561070
Stoney Creek U/S Toronto,561177
Stoney Creek at Toronto,561157
Dora Ck at Cooranbong,561074
Stockton Ck at Morrisset,561089
Dora Ck at Kalang Rd,561062
Lake Macquarie at Swansea Channel,561090
Wyong R at Yarramalong,561031
Wyong R at Gears,61383
Wyong R at Gracemere,561038
Jilliby Ck at Jilliby,61380
Wyong R U/S Wyong Weir,561066
Wyong R U/S Wyong Br,61386
Tumbi Umbi Ck,561092
Wallarah Ck at Bridge,561091
Ourimbah Ck U/S Weir,561034
Ourimbah (Ourimbah Ck),561152
Ourimbah Ck at Kangy Angy,61384
Ourimbah Ck at Lees Bridge,561086
Tuggerah Lake at Toukley,561000
Tuggerah Lake at The Entrance,561001
Tuggerah Lake at Long Jetty,561080
Lisarow,561125
Narara,561126
West Gosford,561127
Patonga (Tidal),561149
Narabeen Lagoon at Ocean Street,566086
Mulwaree R at The Towers,570062
Pejar Dam,570068
Kialla Ck at Pomeroy,570072
Wollondilly R at Marsden Weir,570070
Mulwaree R at Lansdowne Br,570066
Wollondilly R at Murrays Flat,570027
Wollondilly R at Golden Valley,568152
Wingecarribee R at Sheepwash Bridge,568234
Wingecarribee R at Bong Bong Weir,568238
Wingecarribee R at Berrima,568215
Wingecarribee R at Greenstead,68215
Tarlo R at Willowbank,570073
Wollondilly R at Jooriland,568144
Neubecks Ck U/S Wallerawang,563077
Coxs R at Wallerawang Power Stn,563076
Coxs R U/S Lake Lyell,563097
Falmers Ck at Mount Walker,563099
Coxs R at Glenroy Bridge,563089
Coxs R at Island Hill,563100
Megalong Ck at Narrow Neck,563098
Coxs R at Kelpie Point,563000
Kowmung R at Cedar Ford,563039
Nattai R at The Crags,568235
Nattai R at Smallwoods Crossing,568140
Werriberri Ck at Werombi,568214
Warragamba Dam,567099
Cataract Dam,568143
Cataract R at Broughtons Pass,568156
Cordeaux Dam,68211
Avon Dam,568142
Nepean Dam,68212
Nepean R at Avon Dam Rd,568211
Stonequarry Ck at Picton,568172
Nepean R at Menangle Bridge,68216
Nepean R at Camden Weir,568154
Nepean R at Mount Hunter,568151
Nepean R at Wallacia Weir,67093
Nepean R at Penrith,567047
Nepean R at Castlereagh,567045
Grose R at Grose Wold (Burralow),563024
Hawkesbury R at North Richmond,567098
Hawkesbury R at Freemans Reach,563011
Hawkesbury R at Windsor SWC,567062
Hawkesbury R at Windsor PWD,567044
South Ck at Mulgoa Road,567070
South Ck at Gt Western Hwy,567071
Ropes Ck at Debrincat Ave,567073
Colo R at Upper Colo,563033
Macdonald R at Howes Valley,561036
Macdonald R at St Albans,61353
Cattai Ck at Murphys Bridge,567117
Hawkesbury R at Ebenezer,563010
Hawkesbury R at Lower Portland,67094
Hawkesbury R at Wisemans Ferry,561004
Hawkesbury R at Gunderman,561076
Hawkesbury R at Spencer,561065
Hawkesbury R at Patonga,561149
Blacktown Ck at Int.Peace Park,567109
Toongabbie Ck at Briens Rd,567074
Toongabbie Ck at  Redbank Rd,567056
Loyalty Rd Basin,567072
Darling Mills Ck at Nth Parramatta,567057
Parramatta R (Riverside Theatre),567112
Parramatta R at Marsden Weir,567107
Pendle Hill Creek at Toongabbie,567118
Georges R at Minto Heights,566082
Bow Bowing Ck at Redfern Rd,568145
Bunbury Curran Ck at Railway Pde,567088
Georges R at Liverpool Br,566054
Georges R at Scrivener St,566013
Prospect Ck at Smithfield Rd,567041
Orphan School Ck at Sackville Rd,567089
Prospect Ck at Lansdowne Br,567067
Cabramatta Ck at Orange Grove,567080
Georges R at Cutler Rd,566014
Georges R at Milperra,66168
Georges R U/S Kelso Ck Levee,567048
Georges R D/S Kelso Ck Levee,567060
Georges R at Picnic Point,566011
Bundeena,566085
Woronora Dam,68070
Woronora R at The Needles,566062
Woronora R at Woronora Br,566045
Cooks R at Canterbury Rd,566007
Cooks R at Tempe Br,566012
Eastern Ck at Great Western Hwy,567069
Shoalhaven R at Hillview,70335
Shoalhaven R at Fossickers Flat,68232
Kangaroo R at Hampden Br,68181
Shoalhaven R at Tallowa Dam,568157
Danjera Ck at Danjera Dam,568159
Danjera Ck U/S Dam,568196
Shoalhaven R at Grassy Gully,68233
Shoalhaven R at Nowra (AHD),68213
Shoalhaven R at Shoalhaven Heads,568195
Crookhaven R at Greenwell Pt,568180
Crookhaven R at Crookhaven Heads,568044
Lake Wollumboola,568183
Broughton Creek,568226
Currarong,568225
Crooked R at Gerroa,568179
Currambene Ck at Falls Ck,568173
Tomerong Ck at Hawken Rd (AHD),568202
St Georges Basin at Island Pt Rd,568200
Jervis Bay at HMAS Creswell,568194
Sussex Inlet at Sussex Rd Boat Ramp,568198
Lake Conjola,568182
Ulladulla Boat Harbour,569039
Millards Creek,569038
Burrill Lake,569037
Lake Tabourie,569036
Clyde R at Brooman,569018
HMAS Creswell(Jervis Bay),568194
Araluen Ck at Neringla Rd,569025
Deua R at Riverview,569041
Moruya R at Moruya,69130
Tuross R at Tuross Vale,569012
Wadbilliga R at Wadbilliga,569011
Tuross R D/S Wadbilliga Junct,569026
Tuross R at Eurobodalla,569015
Wagonga R at Barlows Bay,569031
Wallaga Lake at Regatta Pt,569032
Bermagui R at Boat Harbour,569033
Brogo Dam,569016
Brogo R at North Brogo,569023
Double Ck near Brogo,569027
Brogo R at Angledale,569008
Bemboka R at Morans Crossing,569013
Tantawangalo Ck at Candelo Damsite,569021
Bega R at Kanoona,569028
Bega River Entrance,569043
Bega R at Bega North,69120
Merimbula Lake at Wharf,569029
Pambula R at Lochiel,569014
Towamba R at Towamba,569017
Eden Boat Harbour,569040
Little Plains R at Wellesley,570018
Delegate R at Quidong,70309
Mclaughlin R at The Hut,570056
Snowy R at Burnt Hut Crossing,70008
Snowy R at Dalgety Weir,71019
Bombala R at Bombala,570020
Snowy R at Mckillops Br,84126
Frazers Ck at Glenorchy,554017
Frazers Ck at Westholme (Ashford),556010
Kings Ck at Gred,556025
Kings Ck at Newstead North,556036
Paradise Ck at Paradise Station,556035
Macintyre R at Wyoming,556037
Macintyre R at Little Valley,556014
Macintyre R at Elsmore Br,556011
Macintyre R at Riverstone,556039
Middle Ck at Stannifer,556038
Middle Ck at Ferndale,556013
Macintyre R at Inverell Middle Ck**,556008
Macintyre R at Tintot,554016
Macintyre River at Ridgelands,554002
Macintyre R at Yetman Br,554014
Macintyre R at Holdfast,54156
Ottleys Ck at Coolatai,554015
Deepwater R at Bolivia,556004
Mole R at Donaldson,556002
Tenterfield Ck at Clifton,556003
Dumaresq R at Farnbro,541053
Pike Ck D/S Glenlyon Dam,541052
Quart Pot Ck at Stanthorpe,541073
Dumaresq R at Roseneath,56158
Beardy R at Haystack,54146
Dumaresq R at Bonshaw,54155
Dumaresq R at Texas,41548
Brush Ck at Beebo,541066
Dumaresq R at Glenarbon Weir D/S,541067
Macintyre Bk at Barongarook,41491
Macintyre Bk at Terraine,41495
Coolmunda Dam HW,541033
Coolmunda Dam TW,41137
Macintyre Bk at Inglewood Weir,41520
Macintyre Bk at Booba Sands,41519
Dumaresq River at Bengalla,41506
Macintyre R at Boggabilla,53101
Macintyre R at Goondiwindi,41500
Macintyre R at Goondiwindi Weir,541030
Macintyre R at Terrewah,53109
Boomi R at Boomi Offtake,553024
Macintyre R at Boomi Weir,52084
Macintyre R at Kanowna,552012
Weir R at Giddi Giddi South,41112
Weir R at Surrey,42104
Weir R at Talwood,42108
Gil Gil Ck at Boolataroo,553027
Gil Gil Ck at Galloway,552019
Barwon R at Mungindi,52068
Moonie R at Fenton,42106
Moonie R at Gundablouie,548006
Gwydir R at Bundarra,556007
Copes Ck at Kimberley,556009
Gwydir R D/S Copeton Dam,556000
Gwydir R at Pinegrove,554007
Halls Ck at Bingara,554009
Myall Ck at Molroy,556018
Horton R at Horton Dam Site,554010
Horton R at Rider,554008
Gwydir R at Gravesend,54141
Gwydir R at Pallamallawa,553000
Gwydir R at Yarraman Br,553002
Mehi R at Chinook,553011
Mehi R at Moree,553001
Mehi R at Combadello Weir D/S,553016
Carole Ck at Garah,553019
Gwydir R at Millewa,552013
Tycannah Ck at Horseshoe Lagoon,553003
Moomin Ck at Glendello,553022
Moomin Ck at Clarendon Br,553023
Moomin Ck at Alma Bridge,552017
Moomin Ck at Moomin Plains,552004
Mehi R U/S Ballin Bora Ck,552006
Mehi R at Collarenebri,552001
Thalaba Ck at Belarre,552057
Peel R at Pearly Gates,555033
Peel R at Taroona,555009
Chaffey Dam,555012
Peel R D/S Chaffey Dam,555006
Peel R at Piallamore,55315
Peel R at Tamworth Water Supply,555008
Cockburn R at Mulla Crossing,55321
Cockburn R at Kootingal,555035
Peel R at Paradise Weir,556005
Goonoo Goonoo Ck at Goonoo Goonoo,55313
Goonoo Goonoo Ck at Medows Ln,555034
Peel R at Tamworth Br,55307
Peel R at Appleby,555016
Peel R at Bective,555018
Peel R at Carroll Gap,55284
Macdonald R at Woolbrook,559000
Macdonald R at Retreat,555026
Macdonald R at North Cuerindi,555003
Manilla R at Black Springs,554013
Ironbark Ck at Woodsreef,554006
Split Rock Dam,555002
Manilla R D/S Split Rock Dam,555011
Manilla R at Upper Manilla,555020
Manilla R at Brabri,55285
Manilla R at Manilla,55277
Warrah Ck at Old Warrah,555017
Yarraman Ck at Spring Ridge,555028
Mooki R at Caroona,555005
Mooki R at Breeza Station,55310
Mooki R at Ruvigne,555022
Bundella Ck at Bundella,555021
Bomera Ck at Bomera Creek,555019
Coxs Ck at Tambar Springs,555007
Coxs Ck at Boggabri,555013
Namoi R at Keepit Dam,555001
Namoi R D/S Keepit Dam,55305
Namoi R at Gunnedah,555000
Namoi R at Boggabri,555004
Maules Ck at Avoca East,555027
Namoi R at Turrawan (Wallah),554005
Narrabri Ck at Narrabri,54152
Bohena Ck at Bohena Creek,53098
Namoi R at Mollee Weir,553010
Namoi R D/S Mollee Weir,553006
Namoi R at Wee Waa (Glencoe),53105
Namoi R at Gunidgera Weir,553008
Namoi R D/S Gunidgera Weir,553007
Namoi R at Gunidgera Offtake,553009
Namoi R D/S Weeta Weir,553012
Brigalow Ck at Tharlane,553015
Namoi R at Bullawa,552025
Namoi R at D/S Duncans junction,552026
Namoi R at Bugilbone,552000
Namoi R at Goangra,552011
Pian Ck at Rossmore,552009
Pian Ck at Waminda,552005
Namoi R U/S Walgett,552022
Belar Ck at Warkton,564001
Castlereagh R at Coonabarabran,564005
Castlereagh R at Hidden Valley,564003
Castlereagh R at Binnaway,564006
Castlereagh R at Mendooran,564000
Castlereagh R at Lucas Br,551008
Castlereagh R at Gungalman,551020
Barwon R at Presbury Weir,548009
Barwon R at Mogil Mogil,548000
Barwon R at Collarenebri,48226
Barwon R at Tara (U/S Namoi Jct),548014
Barwon R at Walgett,552014
Barwon R at Boorooma,548015
Barwon R at Brewarrina,48214
Quart Pot Ck U/S Storm King Dam #,541083
Mountain Station Ck at Mt Stat Ck #,541082
Quart Pot Ck at Storm King Dam HW #,541081
Quart Pot Ck at Dalcouth Road #,541085
Quart Pot Ck at Granite Street #,541086
Quart Pot Ck at Stanthorpe #,541087
Quart Pot Ck at Stanthorpe *,541073
4 Mile Ck at Glen Niven Dam TM*,541189
Broadwater Creek #,541088
Broadwater Creek *,541028
Severn R at Ballandean *,541032
Severn R at Ballandean #,541089
Accommodation Ck at Ballandean *,541076
Accommodation Ck at Ballandean #,541090
Dumaresq R at Farnbro *,541053
Pike Ck at Glenlyon Dam TW *,541052
Dumaresq R at Texas *,41548
Oaky Ck at Texas *,541065
Brush Ck at Beebo *,541066
Dumaresq R at Glenarbon Weir D/S*,541067
Macintyre Bk at Barongarook *,41491
Macintyre Bk at Barongarook #,541112
Chain of Ponds Ck at Artunga #,541110
Bracker Ck at Terraine *,41495
Bracker Ck at Terraine #,541111
Macintyre Bk at Coolmunda Dam HW *,541033
Macintyre Bk at Coolmunda Dam TW *,41137
Macintyre Bk at Coolmunda Dam TW #,541109
Canning Ck at Woodspring #,541108
Macintyre Bk at Inglewood Br #,541107
Macintyre Bk at Inglewood Weir *,41520
Macintyre R at Whetstone Weir *,541094
Macintyre Bk at Ben Dor Weir *,541095
Macintyre Bk at Booba Sands *,41519
Dumaresq R at Bengalla *,41506
Macintyre R at New Kildonan *,41507
Macintyre R at Goondiwindi *,41500
Macintyre R at Goondiwindi Weir *,541030
Callandoon Ck at Carana Weir *,541070
Callandoon Ck at Oonavale*,541072
Weir R at O'Connor *,41508
Weir R at Retreat Br *,41485
Weir R at Gunn Br *,542004
Wyaga Ck at Kilbronae *,41124
Yarrill Ck at Medpark Br *,41489
Weir R at Giddi Giddi South *,41112
Weir R at Surrey *,42104
Weir R at Talwood *,42108
Weir R at Jericho *,542005
Weir R at Mascot *,542007
Moonie R at Flinton*(Downstream),542006
Moonie R at Mt Driven *,542035
Moonie R at Nindigully *,42105
Moonie R at Fenton *,42106
Macquarie R at White Rock,563080
Queen Charlottes Ck-Georges Plains,563061
Macquarie R at Bathurst,63287
Orange (Kyte St),563049
Orange (Dalton St Bridge),563081
Macquarie R Upstream STP,563093
Macquarie R Downstream STP,563092
Macquarie R at Rocks Forest,563096
Macquarie R at Yarracoona,563090
Turon R at Sofala,563016
Cudgegong R at Windamere Dam,62093
Cudgegong R D/S Windamere Dam,562007
Cudgegong R at Rocky Waterhole,562002
