Site Id,Site Name,Latitude,Longitude
072082,Bago Tbrg At Yaven Creek Road,-35.55279544,147.98279731
072169,Courabyra Tbrg At Courabyra Road,-35.7107848,148.00237641
215002,Shoalhaven River At Warri,-35.341431,149.73681
215004,Corang River At Hockeys,-35.1473,150.0331
215007,Mongarlowe River At Monga,-35.540229,149.929056
215008,Shoalhaven River At Kadoona,-35.790125,149.639473
215208,Shoalhaven River At Hillview,-35.18447866,149.95363367
215209,Shoalhaven River At Mount View,-35.44726779,149.72191709
215210,Mongarlowe River At Mongarlowe,-35.42201415,149.9363451
215237,Gillamatong Creek @ Braidwood,-35.42510047,149.7368074
215237B,Gillamatong Creek No.2 @ Braidwood,-35.429204,149.749982
215238,Reedy Creek @ Manar,-35.289546,149.703856
215239,Boro Creek @ Marlowe,-35.23038124,149.84731679
215240,Nerrimunga Creek @ Minshull Trig,-35.00894327,149.93278944
215241,Jembaicumbene Creek At Bendoura,-35.50202754,149.71617029
215242,Corang River At Meangora,-35.14557088,150.04312132
216002,Clyde River At Brooman,-35.4681,150.2394
216004,Currambene Creek At Falls Creek,-34.970169,150.597733
216009,Buckenbowra River At Buckenbowra No.3,-35.7125,150.0354
217006,Araluen Creek At Neringla Road,-35.6568,149.807
217007,Deua River At Riverview,-35.908408,150.005426
218001,Tuross River At Tuross Vale,-36.2646,149.5103
218005,Tuross River Downstream Wadbilliga River Junction,-36.1959,149.7616
218007,Wadbilliga River At Wadbilliga,-36.257,149.6926
218008,Tuross River At Eurobodalla,-36.1289,150.0032
219001,Rutherford Creek At Brown Mountain,-36.59400001,149.4427
219003,Bemboka River At Morans Crossing,-36.6658,149.6481
219006,Tantawangalo Creek At Tantawangalo Mountain (Dam),-36.7803,149.5427
219013,Brogo River At North Brogo,-36.5342,149.8272
219016,Narira River At Cobargo,-36.3882,149.9356
219017,Double Creek Near Brogo,-36.59838,149.80969
219018,Murrah River At Quaama,-36.4759,149.8519
219022,Tantawangalo Creek At Candelo Dam Site,-36.7303,149.6855
219025,Brogo River At Angledale,-36.6185,149.8817
219027,Brogo River At Brogo Dam (Storage),-36.4911,149.742
219032,Bega River At Kanoona,-36.73,149.7975
219033,Georges Creek At Cochrane Dam (Storage),-36.5703,149.4554
219034,Candelo Creek At Greenmount Road (Yurammie No. 4),-36.8005,149.688
219410,Bega River At Bega River Entrance (Hancocks Bridge),-36.70259102,149.97801545
219900,Bega River At Bega (North Bye),-36.6693,149.8299
220003,Pambula River At Lochiel,-36.9398,149.8206
220004,Towamba River At Towamba,-37.0715,149.6593
221002,Wallagaraugh River At Princes Highway,-37.3704,149.7138
222004,Little Plains River At Wellesley (Rowes),-36.9954,149.0937
222007,Wullwye Creek At Woolway,-36.4221,148.9137
222008,Delegate River At Quidong,-36.9045,149.0345
222013,Snowy River At Burnt Hut Crossing,-36.8396,148.9325
222016,Pinch River At The Barry Way,-36.792,148.4045
222017,Maclaughlin River At The Hut,-36.6535,149.1113
222019,Bombala River At Bombala Town,-36.9099,149.2395
222026,Snowy River At Dalgety Weir,-36.505,148.8292
222027,Mowamba River D/S Moonbah Bridge (Lynwood),-36.4805,148.5886
401007,Tumbarumba Creek At Tumbarumba No.2,-35.802312089,148.008763609
401008,Mannus Creek At Tooma,-35.94329167,148.02729167
401009,Maragle Creek At Maragle,-35.9256,148.0999
401012,Murray River At Biggara,-36.3192,148.0519
401012B,Murray River At Biggara - Backup,-36.3192,148.0519
401013,Jingellic Creek At Jingellic,-35.89431944,147.69240556
401014,Tooma River At Pinegrove,-36.04153056,148.05349444
401014B,Tooma River At Pinegrove - Backup,-36.04153056,148.05349444
401015,Bowna Creek At Yambla,-35.91756111,146.97546944
401016,Welumba Creek At The Square,-36.0337,148.1197
401017,Mannus Creek At Yarramundi,-35.7698,147.9306
401024,Tumbarumba Creek At Tooma (Bakers),-36.0007,148.0787
401026,Maragle Back Creek At Gloaming,-35.9037,148.1689
401027,Murray River At Hume Dam - Storage Gauge No.2,-36.0885,147.0539
401029,Mannus Creek At Glenroy No.2,-35.75616597,147.94257883
401204A,Mitta Mitta River At Tallandoon,-36.4068,147.2313
401211A,Mitta Mitta River At Colemans,-36.5318,147.4562
401224A,Mitta Mitta River At Dartmouth Dam - Storage Gauge,-36.5585,147.5262
401549,Murray River At Bringenbrong Bridge,-36.1691,148.02585
409001,Murray River At Albury (Union Bridge),-36.09163611,146.90711667
409002,Murray River At Corowa,-36.0072,146.3953
