STATION,STNAME,SHORTNAME,GAUGE,DATUM,CATCHAREA,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION
221201,CANN RIVER (WEST BRANCH) @ WEERAGUA,CANN (WB) @ WEERAGUA,153.956,AHD,311.00000,55,694682.000,5861473.000,UTM,-37.372935590,149.198660600,WGS84,9,169.000,1,Y,Y,1,1922-04-22,NULL,221
221202,GENOA RIVER @ WANGARABELL,GENOA @ WANGARABELL,.000,NULL,780.00000,55,720154.845,5859838.207,MGA94,-37.382091000,149.486607000,GDA94,1,.000,1,N,N,1,1922-01-01,1974-01-23 00:00:00.000,221
221207,ERRINUNDRA RIVER @ ERRINUNDRA,ERRINUNDRA @ ERRINUN,.000,GAU,162.00000,55,669418.000,5853798.000,UTM,-37.447037190,148.915255600,WGS84,9,168.000,1,n,n,1,1968-02-20,NULL,221
221208,WINGAN RIVER @ WINGAN INLET NATIONAL PARK,WINGAN @WINGAN INLET,.000,ARB,420.00000,55,719710.300,5825779.500,UTM,-37.688768000,149.491767270,WGS84,9,50.000,1,Y,Y,1,1979-06-22,NULL,221
221209,CANN RIVER (EAST BRANCH) @ WEERAGUA,CANN (EBR) WEERAGUA,.000,NULL,154.00000,55,695470.000,5863398.000,UTM,-37.355431110,149.207045800,WGS84,9,202.000,1,Y,N,1,1972-10-23,NULL,221
221210,GENOA RIVER @ THE GORGE,GENOA @ GORGE,.000,NULL,837.00000,55,723046.000,5856007.000,UTM,-37.415770780,149.520375700,WGS84,9,102.000,1,Y,Y,1,1972-08-22,NULL,221
221211,COMBIENBAR RIVER @ COMBIENBAR,COMBIENBAR @ COMB.,.000,GAU,179.00000,55,675439.000,5854433.000,UTM,-37.440194490,148.983134800,WGS84,9,189.000,1,Y,Y,1,1974-08-12,NULL,221
221212,BEMM RIVER @ PRINCES HIGHWAY,BEMM @ PRINCES HWY,.000,NULL,725.00000,55,667855.000,5836059.000,UTM,-37.607126190,148.901648700,WGS84,9,82.000,1,Y,Y,1,1975-04-30,NULL,221
221218,BETKA RIVER @ MINERS TRACK,BETKA R @ MINERS TRK,.000,ARB,.00000,55,732688.000,5835801.000,UTM,-37.595335240,149.635618190,WGS84,1,.000,1,N,N,1,1996-01-16,NULL,221
221224,CANN RIVER U/S CANN RIVER OFFTAKE,CANN RV U/S O/TAKE,.000,NULL,.00000,55,690544.000,5843171.000,UTM,-37.538646840,149.156689000,WGS84,NULL,.000,NULL,y,N,1,2009-03-11,NULL,221
221225,BEMM RIVER U/S OF PUMPHOUSE,BEMM R U/S PUMPHOUSE,.000,NULL,.00000,55,671929.000,5822377.000,UTM,-37.729623050,148.951004300,WGS84,NULL,.000,NULL,N,N,1,2009-09-23,NULL,221
221801,Raingauge @ Buldah,RG @ Buldah,NULL,NULL,NULL,55,690262.675,5873543.064,MGA94,-37.265260000,149.145700000,GDA94,NULL,.000,NULL,N,N,1,NULL,NULL,221
221802,Raingauge @ Club Terrace,RG @ Club Terrace,NULL,NULL,NULL,55,671155.600,5842019.921,MGA94,-37.552950000,148.937640000,GDA94,NULL,.000,NULL,N,N,1,NULL,NULL,221
221803,RG @ Bemm Fire Tower- Bemm Tower Rd Club Terrace,RG @ Bemm Fire Tower,NULL,NULL,NULL,55,674610.860,5831503.109,NULL,-37.646908000,148.979234000,0,9,.000,NULL,N,N,1,2020-10-01,NULL,221
221804,RG @ Waldron Fire Tower -Waldron Rd Combienbar,RG @ Waldron FT,NULL,NULL,NULL,55,683377.147,5854086.101,NULL,-37.441780000,149.072900000,0,9,.000,NULL,N,N,1,2020-10-01,NULL,221
222200,SNOWY RIVER @ JARRAHMOND,SNOWY R @ JARRAHMOND,.000,AHD,13421.00000,55,620071.000,5830901.000,UTM,-37.661086070,148.361313900,WGS84,9,27.000,1,Y,Y,1,1889-04-01,NULL,222
222201,SNOWY RIVER @ ORBOST,SNOWY R @ ORBOST,-.141,AHD,13572.00000,55,627898.000,5825644.400,UTM,-37.707393070,148.450950330,WGS84,9,7.000,1,Y,Y,1,1907-04-13,NULL,222
222202,BRODRIBB RIVER @ SARDINE CREEK,BRODRIBB @ SARDINE,78.591,AHD,658.00000,55,636752.000,5847240.000,UTM,-37.511534490,148.547325400,WGS84,9,103.000,1,Y,N,1,1922-04-24,NULL,222
222203,SNOWY RIVER @ MARLO JETTY,SNOWY @ MARLO JETTY,-.745,AHD,.00000,55,634504.800,5815384.500,NULL,-37.798888890,148.527777800,NULL,1,.000,1,N,N,1,1934-06-25,NULL,222
222205,SNOWY RIVER @ NEWMERELLA-LOCHEND ROAD,SNOWY @ NEWMERELLA,-.479,ARB,13600.00000,55,633887.775,5820634.951,MGA94,-37.751804000,148.519811000,GDA94,1,.000,1,N,N,1,1960-03-01,NULL,222
222206,BUCHAN RIVER @ BUCHAN,BUCHAN @ BUCHAN,74.850,AHD,822.00000,55,603711.000,5849459.000,UTM,-37.495843240,148.173242400,WGS84,9,90.000,9,Y,Y,1,1926-03-27,NULL,222
222209,SNOWY RIVER @ MCKILLOP BRIDGE,SNOWY @ MCKILLOP BR.,.000,ARB,10619.00000,55,625612.000,5894902.000,UTM,-37.083627560,148.413255100,WGS84,9,174.000,9,Y,Y,1,1941-03-01,NULL,222
222210,DEDDICK RIVER @ DEDDICK (CASEYS),DEDDICK @ DEDDICK,.000,ARB,857.00000,55,626577.700,5894693.700,UTM,-37.085374700,148.424152230,WGS84,9,.000,1,Y,N,1,1964-03-26,NULL,222
222213,SUGGAN BUGGAN RIVER @ SUGGAN BUGGAN,S.BUGGAN @ SUGGAN,.000,ARB,357.00000,55,618048.000,5909278.000,UTM,-36.955055360,148.325920800,WGS84,9,.000,1,Y,N,1,1957-07-24,NULL,222
222217,RODGER RIVER @ JACKSONS CROSSING,RODGER @ JACKSONS,.000,ARB,447.00000,55,620346.000,5858744.000,UTM,-37.410156040,148.359866600,WGS84,9,.000,1,Y,Y,1,1976-06-03,NULL,222
222219,SNOWY RIVER @ D/S OF BASIN CREEK,SNOWY @ BASIN CRK,.000,ARB,11964.00000,55,612580.000,5848984.000,UTM,-37.499084730,148.273624800,WGS84,9,.000,1,Y,Y,1,1978-12-12,NULL,222
222221,BUCHAN RIVER @ EGW OFFTAKE,BUCHAN R @ EGW O/T,.000,NULL,.00000,55,603874.000,5852271.000,UTM,-37.470483850,148.174689100,WGS84,NULL,.000,NULL,y,N,1,2009-05-14,NULL,222
222222,ROCKY RIVER U/S OT THE WEIR,ROCKY RIVER U/S OT T,.000,NULL,.00000,55,645938.000,5834053.000,UTM,-37.628939220,148.653850800,WGS84,NULL,.000,NULL,y,N,1,2009-03-11,NULL,222
222223,Brodribb River @ U/S Lake Curlip,Brodribb R @ Lk Curl,NULL,NULL,NULL,55,635984.236,5823374.335,NULL,-37.726682000,148.543080000,NULL,9,.000,NULL,y,N,1,2020-04-01,NULL,222
223202,TAMBO RIVER @ SWIFTS CREEK,TAMBO @ SWIFTS CREEK,280.863,AHD,943.00000,55,564619.000,5875047.000,UTM,-37.268781200,147.728818550,WGS84,9,305.000,1,Y,Y,1,1937-06-01,NULL,223
223204,NICHOLSON RIVER @ DEPTFORD,NICHOLSON @ DEPTFORD,.000,ARB,287.00000,55,561543.000,5839104.000,UTM,-37.592946310,147.697124000,WGS84,9,.000,1,Y,Y,1,1961-05-12,NULL,223
223205,TAMBO RIVER @ D/S OF RAMROD CREEK,TAMBO @ DS RAMROD,15.452,AHD,2681.00000,55,576710.000,5830147.000,UTM,-37.672530620,147.869851300,WGS84,9,.000,1,Y,N,1,1965-06-09,NULL,223
223208,TAMBO RIVER @ BINDI (NEAR JUNCTION CREEK),TAMBO R @ BINDI,.000,ARB,523.00000,55,568710.000,5887104.000,ANG,-37.159815170,147.773843500,AGD66,1,380.000,1,N,N,1,1974-03-21,2003-07-14 00:00:00.000,223
223209,TAMBO RIVER @ BATTENS LANDING,TAMBO @ BATTENS,.000,ARB,2781.00000,55,574796.100,5820757.900,UTM,-37.757306200,147.849116070,WGS84,9,.000,1,Y,N,1,1977-01-26,NULL,223
223210,NICHOLSON RIVER @ SARSFIELD,NICHOLSON @ SARSFIEL,.000,ARB,471.00000,55,562646.000,5823050.000,UTM,-37.737561550,147.710996200,WGS84,9,42.000,1,Y,Y,1,1977-09-21,NULL,223
223212,TIMBARRA RIVER @ D/S OF WILKINSON CREEK,TIMBARRA DS WILKINSO,.000,ARB,438.00000,55,594066.000,5855069.000,UTM,-37.446318430,148.063433700,WGS84,9,200.000,1,Y,N,1,1982-05-06,NULL,223
223214,TAMBO RIVER @ U/S OF SMITH CREEK,TAMBO @ U/S SMITH CK,.000,ARB,32.00000,55,582588.000,5909736.000,UTM,-36.954706560,147.927640000,WGS84,9,950.000,1,Y,Y,1,1989-03-02,NULL,223
223215,HAUNTED STREAM @ HELLS GATE,HAUNTED @ HELLS,153.892,AHD,180.00000,55,573015.000,5851389.000,UTM,-37.481387050,147.825838850,WGS84,9,169.000,1,Y,N,1,1990-02-08,NULL,223
